,dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,num_of_branches,branching_ratio
84,adult,fnlwgt,84,40,63,6,1,10,-1,0.024999999999999998,0.025,4.5,4.5,18,136,0.1323529411764706
85,adult,fnlwgt,85,36,51,9,1,15,-1,0.027777777777777776,0.027777777777777776,4.0,4.142857142857143,16,106,0.1509433962264151
86,adult,fnlwgt,86,40,64,7,1,11,-1,0.025,0.025,4.5,5.375,21,134,0.15671641791044777
87,adult,fnlwgt,87,36,55,7,1,12,-1,0.027777777777777776,0.027777777777777783,4.0,4.142857142857143,18,118,0.15254237288135594
88,adult,fnlwgt,88,35,57,7,1,11,-1,0.028571428571428564,0.02857142857142857,4.5,6.0,17,124,0.13709677419354838
89,adult,fnlwgt,89,40,66,5,1,8,-1,0.025,0.024999999999999998,5.0,5.666666666666667,24,140,0.17142857142857143
90,adult,fnlwgt,90,42,62,7,1,10,-1,0.023809523809523808,0.023809523809523808,4.5,5.125,20,126,0.15873015873015872
91,adult,fnlwgt,91,34,58,6,1,3,-1,0.029411764705882353,0.02941176470588236,5.0,5.333333333333333,22,120,0.18333333333333332
92,adult,fnlwgt,92,45,70,8,1,6,-1,0.022222222222222223,0.022222222222222233,4.0,4.142857142857143,21,144,0.14583333333333334
93,adult,fnlwgt,93,39,69,6,1,7,-1,0.02564102564102564,0.02564102564102564,4.5,5.75,21,140,0.15
94,adult,fnlwgt,94,42,58,7,1,19,-1,0.023809523809523808,0.023809523809523808,4.5,4.5,17,118,0.1440677966101695
95,adult,fnlwgt,95,36,71,5,1,2,-1,0.027777777777777783,0.027777777777777776,5.5,5.8,19,150,0.12666666666666668
96,adult,fnlwgt,96,33,60,6,1,7,-1,0.030303030303030304,0.030303030303030304,4.5,5.0,18,124,0.14516129032258066
97,adult,fnlwgt,97,39,62,7,1,17,-1,0.025641025641025637,0.025641025641025647,5.0,5.111111111111111,22,126,0.1746031746031746
98,adult,fnlwgt,98,40,58,7,1,11,-1,0.024999999999999994,0.025,4.0,4.285714285714286,23,122,0.1885245901639344
99,adult,fnlwgt,99,34,60,6,1,7,-1,0.029411764705882353,0.02941176470588236,6.0,6.333333333333333,20,126,0.15873015873015872
